a.a.gill	adrian anthony gill is a british writer and critic who uses the bylines a a gill
a.a.phillips	arthur angel phillips generally known as a a phillips was an australian writer
a.h.weiler	abe h weiler was an american writer and critic best known for being a film
a.igoni_barrett	adrian igonibo barrett is a nigerian writer
a.j.butcher	andrew james butcher better known as aj butcher is an english writer best
a.k.chettiar	a k chettiar was a tamil travelogue writer journalist and documentary film
a.l.kennedy	alison louise a l kennedy is a scottish writer of novels short stories and
a.l.rees	alan leonard rees was a british writer and teacher about film who advised the
a.l.zissu	abraham leib zissu was a romanian writer political essayist industrialist and
a.m.dellamonica	alyxandra margaret dellamonica is a canadian science fiction writer who has
a.m.homes	amy m homes is an american writer she is best known for her controversial
a.m.muhammed	a m muhammed  is a writer in malayalam based in abu dhabi ammuhammed born
a.n.krishna_rao	a n krishna rao popularly known as anakru was an indian writer he is one
a.r.krishnashastry	ambale ramakrishna krishnashastry was a prominent writer researcher and translator
a.s.gnanasambandan	a s gnanasambandan was a tamil writer scholar and literary critic from tamil
a.s.king	amy sarig king is an american writer of short fiction and young-adult fiction
a.sheriff	alleppey sheriffalso known as a sheriff was an indian film script writer and
a.whitney_brown	alan whitney brown is an american writer and comedian best known for work on
aage_borchgrevink	aage storm borchgrevink is a norwegian writer and literary critic he was born
aaron_alfandari	aaron ben moses alfandari was a talmudic writer born in smyrna he emigrated
aaron_becker	aaron becker is an american writer and illustrator of childrens books he is
aaron_cohen_:counterterrorist	aaron cohen is an israeli-american writer director actor author and former duvdevan
aaron_ehasz	aaron ehasz is an american television writer and producer whose body of work
aaron_elkins	aaron elkins is an american mystery writer he is best known for his series
aaron_hoffman	aaron hoffman was an american writer and lyricist whose work was in wide use
aaron_mcgruder	aaron vincent mcgruder is an american writer lecturer producer screenwriter
aaron_paquette	aaron paquette is a canadian writer and artist who was a winner of the burt
aaron_peck	aaron peck is a vancouver- and brussels-based writer he is the author of the
aaron_shure	aaron shure is an american television writer director and producer born in
aaron_smith_:magician	aaron smith is an american writer illustrator and inventor of magic tricks
abbas_el-zein	abbas el-zein is an australian-lebanese writer and academic he is the author
abbasgulu_bakikhanov	abbasgulu bakikhanov also known as gudsi was an azerbaijani writer historian
abby_mann	abby mann was an american film writer and producer
abd_allah_ibn_hijazi_al-sharqawi	abd allah ibn hijazi ibn ibrahim al-sharqawi was an egyptian writer and scholar
abdal_bela	abdaal bela is an urdu-language fiction writer from pakistan
abdallah_marrash	abdallah bin fathallah bin nasrallah marrash was a writer involved in various
abdellah_taia	abdellah taia is a moroccan writer and filmmaker who writes in the french language
abdizhamil_karimuly_nurpeisov	abdizhamil karimovich nurpeisov is the peoples writer of kazakhstan one of the
abdon_ubidia	abdon ubidia is an ecuadorian writer who is considered one of the most representative
abdukadir_osman	abdukadir osman also known as abdukadir oromo was a somali writer he was born
abdul_aziz_said	abdul aziz said is a syrian-born writer and senior-ranking professor of international
abdul_gaffar_choudhury	abdul gaffar choudhury is a bangladeshi-born british writer journalist columnist
abdul_hameed_:writer	abdul hameed was an urdu fiction writer from pakistan who wrote over two hundred
abdul_haq_choudhury	abdul haq choudhury was a bangladeshi writer he was awarded ekushey padak in
abdul_muis	abdul muis was an indonesian writer journalist and nationalist he argued tirelessly
abdul_qavi_desnavi	abdul qavi desnavi was an indian urdu language writer critic bibliographer and
abdul_qayum_:imam	abdul qayum is a bangladeshi born british writer lecturer and the chief imam
abdul_rahim_dard	abdur rahim dard known as a r dard was an ahmadi muslim writer missionary
abdul_wahid_nazari	abdul wahid nazari is an afghan film writer director and producer he is the
abdulah_sidran	abdulah sidran often referred to by his nickname avdo is a bosnian writer and
abdulla_shaig	abdulla shaig born abdulla mustafa oglu talibzadeh was an azerbaijani writer
abdullah_abdul_kadir	abdullah bin abdul kadir also known as munshi abdullah was a malayan writer
abdullah_abu_sayeed	abdullah abu sayeed is a bangladeshi writer television presenter organizer and
abdullah_tahiri	abdullah tahiri was a writer born in gjilan a village located in malisheve he
abdulrazak_eid	abdulrazak eid abdul razzak eid abdul razaq eid abdel razzak eid abdul razzaq
abdurrahman_sharafkandi	this article is about the kurdish poet for the feature film hejar see hejar abdurrahman
abed_elrahim_abu_zakrra	abed elrahim abu zakrra or abuzikreea was a sudanese writer poet and translator
abel_meeropol	abel meeropol was an american writer teacher and song-writer whose works were
abelardo_castillo	abelardo castillo is an argentine writer novelist essayists born in the city
abena_busia	abena busia was born in accra ghana to kofi abrefa busia one-time ghanas head
abhilash_chandran_r	abhilash r is a modern progressive tamil writer based in chennai india
abigail_pogrebin	abigail pogrebin is an american writer she is the author of the 2005 book stars
abraham_brumberg	abraham brumberg was a jewish american writer and editor he is known for writing
abraham_eraly	abraham eraly was an indian writer of history a teacher and the founder of chennai-based
abraham_h.de_vries	abraham hermanus de vries is an afrikaans short story writer considered as one
abrar_alvi	abrar alvi was an indian film writer director and actor most of his notable
abu_rushd	abu rushd matinuddin was a bangladeshi writer
abubakar_imam	abubakar imam obe con lld nnmc  was a nigerian writer journalist and
abujafar_shamsuddin	abujafar shamsuddin was a bangladeshi writer
abul_asad	abul asad is a writer and journalist in bangladesh he is the editor of one
abul_bashar	abul bashar is a popular bengali writer from the state of west bengal in india he
abul_fazal_:writer	abul fazal was a bangladeshi writer and educationist abul fazal was a famous
acharya_chatursen_shastri	acharya chatursen shastri was an eminent writer of hindi and he wrote many historical
achde	achde the pseudonym of herve darmenton is a french comic book writer and artist the
achille_campanile	achille campanile was an italian writer playwright journalist and television
achille_essebac	achille essebac was a french writer primarily known for his novel dede about
achy_obejas	achy obejas is a cuban-american writer and translator focused on personal and
ada_cambridge	ada cambridge later known as ada cross was an english-born australian writer overall
ada_jack_carver_snell	ada jack carver snell was an american short story writer originally from natchitoches
adalbert_stifter	adalbert stifter was an austrian writer poet painter and pedagogue he was especially
adam_beechen	adam beechen is an american comic book writer who wrote countdown to adventure
adam_begley	adam c begley is an american freelance writer and was the books editor for
adam_browne	adam browne is an australian speculative fiction writer he lives in melbourne
adam_c.engst	adam c engst is a technology writer and publisher who resides in ithaca new
adam_elliot	adam elliot is an independent australian stop-motion animation writer director
adam_gollner	adam leith gollner is a canadian writer and musician who lives in montreal he
adam_gopnik	adam gopnik is an american writer and essayist he is best known as a staff
adam_hamdy	adam hamdy is a british writer and film producer best known for his debut comic
adam_james_dalton	a j dalton is a british fantasy writer and teacher of english he is the author
adam_karrillon	adam karrillon was a german writer and physician in 1923 he won the georg buchner
adam_kay_:writer	adam kay is a british comedy writer and performer television writing credits
adam_kazimierz_czartoryski	prince adam kazimierz czartoryski was an influential polish aristocrat writer
adam_klein_:writer	adam klein is an american writer and musician he currently divides his time
adam_kotsko	adam kotsko is an american writer theologian religious scholar and translator
adam_kuckhoff	adam kuckhoff was a german writer journalist and german resistance fighter against
adam_maxwell	adam maxwell is an english writer he has a degree in english studies and a
adam_muto	adam muto is an american writer director and storyboard artist known for his
adam_nevill	adam nevill is an english writer of supernatural horror known for his book the
adam_niswander	adam niswander was an american short story writer and novelist he was a former
adam_radwanski	adam radwanski is a national politics writer for the globe and mail he was
